DATE,T10Y3M,CPI,SP500,Median_House_Price,UNRATE,USREC,WTISPLC
1994-11-01,2.67,149.8,468.4200134,129900,5.6,0,18.1
1994-12-01,2.21,150.1,448.9200134,135000,5.5,0,17.16
1995-01-01,2.07,150.5,459.1099854,127900,5.6,0,17.99
1995-02-01,1.7,150.9,470.3999939,135000,5.4,0,18.53
1995-03-01,1.47,151.2,485.6499939,130000,5.4,0,18.55
1995-04-01,1.41,151.8,501.8500061,134000,5.8,0,19.87
1995-05-01,0.96,152.1,514.2600098,133900,5.6,0,19.74
1995-06-01,0.7,152.4,533.4899902,133700,5.6,0,18.42
1995-07-01,0.86,152.6,547.0900269,131000,5.7,0,17.3
1995-08-01,1.09,152.9,559.6400146,134900,5.7,0,18.03
1995-09-01,0.92,153.1,563.8400269,130000,5.6,0,18.23
1995-10-01,0.76,153.5,581.7199707,135200,5.5,0,17.44
1995-11-01,0.57,153.7,584.2199707,137000,5.6,0,17.99
1995-12-01,0.57,153.9,606.9799805,138600,5.6,0,19.04
1996-01-01,0.65,154.7,620.7299805,131900,5.6,0,18.88
1996-02-01,0.98,155.0,638.460022,139400,5.5,0,19.07
1996-03-01,1.31,155.5,644.3699951,137000,5.5,0,21.36
1996-04-01,1.56,156.1,653.7299805,140000,5.6,0,23.57
1996-05-01,1.72,156.4,654.5800171,136500,5.6,0,21.25
1996-06-01,1.82,156.7,667.6799927,140000,5.3,0,20.45
1996-07-01,1.72,157.0,675.8800049,144200,5.5,0,21.32
1996-08-01,1.59,157.2,650.0200195,137000,5.1,0,21.96
1996-09-01,1.74,157.7,654.7199707,139000,5.2,0,23.99
1996-10-01,1.54,158.2,689.0800171,143800,5.2,0,24.9
